org.apache.commons,commons-compress,1.15,"[['CVE-2021-36090', '7.5', 'HIGH'], ['CVE-2021-35515', '7.5', 'HIGH'], ['CVE-2018-11771', '5.5', 'MEDIUM'], ['CVE-2018-1324', '5.5', 'MEDIUM'], ['CVE-2019-12402', '7.5', 'HIGH'], ['CVE-2021-35517', '7.5', 'HIGH'], ['CVE-2021-35516', '7.5', 'HIGH']]",6.928571428571429,48.5
com.fasterxml.jackson.core,jackson-databind,2.9.1,"[['CVE-2020-36181', '8.1', 'HIGH'], ['CVE-2020-10672', '8.8', 'HIGH'], ['CVE-2020-8840', '9.8', 'CRITICAL'], ['CVE-2019-12814', '5.9', 'MEDIUM'], ['CVE-2019-20330', '9.8', 'CRITICAL'], ['CVE-2020-35491', '8.1', 'HIGH'], ['CVE-2020-35490', '8.1', 'HIGH'], ['CVE-2020-10969', '8.8', 'HIGH'], ['CVE-2019-17531', '9.8', 'CRITICAL'], ['CVE-2019-14439', '7.5', 'HIGH'], ['CVE-2020-36518', '7.5', 'HIGH'], ['CVE-2019-16942', '9.8', 'CRITICAL'], ['CVE-2020-14060', '8.1', 'HIGH'], ['CVE-2020-11111', '8.8', 'HIGH'], ['CVE-2020-24750', '8.1', 'HIGH'], ['CVE-2020-36184', '8.1', 'HIGH'], ['CVE-2020-36189', '8.1', 'HIGH'], ['CVE-2018-14719', '9.8', 'CRITICAL'], ['CVE-2019-14540', '9.8', 'CRITICAL'], ['CVE-2019-16943', '9.8', 'CRITICAL'], ['CVE-2020-36185', '8.1', 'HIGH'], ['CVE-2018-19362', '9.8', 'CRITICAL'], ['CVE-2020-36183', '8.1', 'HIGH'], ['CVE-2020-36188', '8.1', 'HIGH'], ['CVE-2020-36186', '8.1', 'HIGH'], ['CVE-2020-36182', '8.1', 'HIGH'], ['CVE-2021-20190', '8.1', 'HIGH'], ['CVE-2020-9547', '9.8', 'CRITICAL'], ['CVE-2020-9546', '9.8', 'CRITICAL'], ['CVE-2020-11620', '8.1', 'HIGH'], ['CVE-2019-16335', '9.8', 'CRITICAL'], ['CVE-2018-19360', '9.8', 'CRITICAL'], ['CVE-2018-14720', '9.8', 'CRITICAL'], ['CVE-2018-12023', '7.5', 'HIGH'], ['CVE-2018-7489', '9.8', 'CRITICAL'], ['CVE-2019-12086', '7.5', 'HIGH'], ['CVE-2020-10673', '8.8', 'HIGH'], ['CVE-2020-11112', '8.8', 'HIGH'], ['CVE-2020-36179', '8.1', 'HIGH'], ['CVE-2020-11113', '8.8', 'HIGH'], ['CVE-2020-11619', '8.1', 'HIGH'], ['CVE-2017-15095', '9.8', 'CRITICAL'], ['CVE-2019-14893', '9.8', 'CRITICAL'], ['CVE-2020-36180', '8.1', 'HIGH'], ['CVE-2020-14195', '8.1', 'HIGH'], ['CVE-2019-12384', '5.9', 'MEDIUM'], ['CVE-2018-11307', '9.8', 'CRITICAL'], ['CVE-2019-14379', '9.8', 'CRITICAL'], ['CVE-2020-14062', '8.1', 'HIGH'], ['CVE-2019-14892', '9.8', 'CRITICAL'], ['CVE-2020-25649', '7.5', 'HIGH'], ['CVE-2018-12022', '7.5', 'HIGH'], ['CVE-2020-9548', '9.8', 'CRITICAL'], ['CVE-2020-24616', '8.1', 'HIGH'], ['CVE-2018-14721', '10.0', 'CRITICAL'], ['CVE-2017-17485', '9.8', 'CRITICAL'], ['CVE-2018-19361', '9.8', 'CRITICAL'], ['CVE-2020-14061', '8.1', 'HIGH'], ['CVE-2018-14718', '9.8', 'CRITICAL'], ['CVE-2020-10968', '8.8', 'HIGH'], ['CVE-2020-36187', '8.1', 'HIGH'], ['CVE-2018-5968', '8.1', 'HIGH'], ['CVE-2019-17267', '9.8', 'CRITICAL']]",8.728571428571433,549.9000000000003
org.apache.commons,commons-compress,1.14,"[['CVE-2021-36090', '7.5', 'HIGH'], ['CVE-2021-35515', '7.5', 'HIGH'], ['CVE-2018-11771', '5.5', 'MEDIUM'], ['CVE-2018-1324', '5.5', 'MEDIUM'], ['CVE-2021-35517', '7.5', 'HIGH'], ['CVE-2021-35516', '7.5', 'HIGH']]",6.833333333333333,41.0
com.fasterxml.jackson.core,jackson-databind,2.9.0,"[['CVE-2020-36181', '8.1', 'HIGH'], ['CVE-2020-10672', '8.8', 'HIGH'], ['CVE-2020-8840', '9.8', 'CRITICAL'], ['CVE-2019-12814', '5.9', 'MEDIUM'], ['CVE-2019-20330', '9.8', 'CRITICAL'], ['CVE-2020-35491', '8.1', 'HIGH'], ['CVE-2020-35490', '8.1', 'HIGH'], ['CVE-2020-10969', '8.8', 'HIGH'], ['CVE-2019-17531', '9.8', 'CRITICAL'], ['CVE-2019-14439', '7.5', 'HIGH'], ['CVE-2020-36518', '7.5', 'HIGH'], ['CVE-2019-16942', '9.8', 'CRITICAL'], ['CVE-2020-14060', '8.1', 'HIGH'], ['CVE-2020-11111', '8.8', 'HIGH'], ['CVE-2020-24750', '8.1', 'HIGH'], ['CVE-2020-36184', '8.1', 'HIGH'], ['CVE-2020-36189', '8.1', 'HIGH'], ['CVE-2018-14719', '9.8', 'CRITICAL'], ['CVE-2019-14540', '9.8', 'CRITICAL'], ['CVE-2019-16943', '9.8', 'CRITICAL'], ['CVE-2020-36185', '8.1', 'HIGH'], ['CVE-2018-19362', '9.8', 'CRITICAL'], ['CVE-2020-36183', '8.1', 'HIGH'], ['CVE-2020-36188', '8.1', 'HIGH'], ['CVE-2020-36186', '8.1', 'HIGH'], ['CVE-2020-36182', '8.1', 'HIGH'], ['CVE-2021-20190', '8.1', 'HIGH'], ['CVE-2020-9547', '9.8', 'CRITICAL'], ['CVE-2020-9546', '9.8', 'CRITICAL'], ['CVE-2020-11620', '8.1', 'HIGH'], ['CVE-2019-16335', '9.8', 'CRITICAL'], ['CVE-2018-19360', '9.8', 'CRITICAL'], ['CVE-2018-14720', '9.8', 'CRITICAL'], ['CVE-2018-12023', '7.5', 'HIGH'], ['CVE-2018-7489', '9.8', 'CRITICAL'], ['CVE-2019-12086', '7.5', 'HIGH'], ['CVE-2020-10673', '8.8', 'HIGH'], ['CVE-2020-11112', '8.8', 'HIGH'], ['CVE-2020-36179', '8.1', 'HIGH'], ['CVE-2020-11113', '8.8', 'HIGH'], ['CVE-2020-11619', '8.1', 'HIGH'], ['CVE-2017-15095', '9.8', 'CRITICAL'], ['CVE-2019-14893', '9.8', 'CRITICAL'], ['CVE-2020-36180', '8.1', 'HIGH'], ['CVE-2020-14195', '8.1', 'HIGH'], ['CVE-2019-12384', '5.9', 'MEDIUM'], ['CVE-2018-11307', '9.8', 'CRITICAL'], ['CVE-2019-14379', '9.8', 'CRITICAL'], ['CVE-2020-14062', '8.1', 'HIGH'], ['CVE-2019-14892', '9.8', 'CRITICAL'], ['CVE-2020-25649', '7.5', 'HIGH'], ['CVE-2018-12022', '7.5', 'HIGH'], ['CVE-2020-9548', '9.8', 'CRITICAL'], ['CVE-2020-24616', '8.1', 'HIGH'], ['CVE-2018-14721', '10.0', 'CRITICAL'], ['CVE-2017-17485', '9.8', 'CRITICAL'], ['CVE-2018-19361', '9.8', 'CRITICAL'], ['CVE-2020-14061', '8.1', 'HIGH'], ['CVE-2018-14718', '9.8', 'CRITICAL'], ['CVE-2020-10968', '8.8', 'HIGH'], ['CVE-2020-36187', '8.1', 'HIGH'], ['CVE-2018-5968', '8.1', 'HIGH'], ['CVE-2019-17267', '9.8', 'CRITICAL']]",8.728571428571433,549.9000000000003
org.apache.commons,commons-compress,1.13,"[['CVE-2021-36090', '7.5', 'HIGH'], ['CVE-2021-35515', '7.5', 'HIGH'], ['CVE-2018-11771', '5.5', 'MEDIUM'], ['CVE-2018-1324', '5.5', 'MEDIUM'], ['CVE-2021-35517', '7.5', 'HIGH'], ['CVE-2021-35516', '7.5', 'HIGH']]",6.833333333333333,41.0
com.h2database,h2,1.4.193,"[['CVE-2021-23463', '9.1', 'CRITICAL'], ['CVE-2021-42392', '9.8', 'CRITICAL'], ['CVE-2022-23221', '9.8', 'CRITICAL']]",9.566666666666666,28.7
ch.qos.logback,logback-classic,1.1.7,"[['CVE-2017-5929', '9.8', 'CRITICAL']]",9.8,9.8
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.8.3,"[['CVE-2016-7051', '8.6', 'HIGH']]",8.6,8.6
org.apache.commons,commons-compress,1.12,"[['CVE-2021-36090', '7.5', 'HIGH'], ['CVE-2021-35515', '7.5', 'HIGH'], ['CVE-2018-11771', '5.5', 'MEDIUM'], ['CVE-2018-1324', '5.5', 'MEDIUM'], ['CVE-2021-35517', '7.5', 'HIGH'], ['CVE-2021-35516', '7.5', 'HIGH']]",6.833333333333333,41.0
com.h2database,h2,1.3.176,"[['CVE-2021-23463', '9.1', 'CRITICAL'], ['CVE-2021-42392', '9.8', 'CRITICAL'], ['CVE-2022-23221', '9.8', 'CRITICAL']]",9.566666666666666,28.7
com.fasterxml.jackson.core,jackson-databind,2.7.5,"[['CVE-2020-36181', '8.1', 'HIGH'], ['CVE-2020-8840', '9.8', 'CRITICAL'], ['CVE-2019-12814', '5.9', 'MEDIUM'], ['CVE-2019-20330', '9.8', 'CRITICAL'], ['CVE-2020-35491', '8.1', 'HIGH'], ['CVE-2020-35490', '8.1', 'HIGH'], ['CVE-2019-17531', '9.8', 'CRITICAL'], ['CVE-2019-14439', '7.5', 'HIGH'], ['CVE-2020-36518', '7.5', 'HIGH'], ['CVE-2019-16942', '9.8', 'CRITICAL'], ['CVE-2020-24750', '8.1', 'HIGH'], ['CVE-2020-36184', '8.1', 'HIGH'], ['CVE-2020-36189', '8.1', 'HIGH'], ['CVE-2018-14719', '9.8', 'CRITICAL'], ['CVE-2019-14540', '9.8', 'CRITICAL'], ['CVE-2019-16943', '9.8', 'CRITICAL'], ['CVE-2020-36185', '8.1', 'HIGH'], ['CVE-2018-19362', '9.8', 'CRITICAL'], ['CVE-2020-36183', '8.1', 'HIGH'], ['CVE-2020-36188', '8.1', 'HIGH'], ['CVE-2020-36186', '8.1', 'HIGH'], ['CVE-2020-36182', '8.1', 'HIGH'], ['CVE-2021-20190', '8.1', 'HIGH'], ['CVE-2020-9547', '9.8', 'CRITICAL'], ['CVE-2019-16335', '9.8', 'CRITICAL'], ['CVE-2018-12023', '7.5', 'HIGH'], ['CVE-2018-19360', '9.8', 'CRITICAL'], ['CVE-2018-14720', '9.8', 'CRITICAL'], ['CVE-2018-7489', '9.8', 'CRITICAL'], ['CVE-2019-12086', '7.5', 'HIGH'], ['CVE-2020-10673', '8.8', 'HIGH'], ['CVE-2020-36179', '8.1', 'HIGH'], ['CVE-2017-15095', '9.8', 'CRITICAL'], ['CVE-2017-7525', '9.8', 'CRITICAL'], ['CVE-2020-36180', '8.1', 'HIGH'], ['CVE-2018-11307', '9.8', 'CRITICAL'], ['CVE-2019-12384', '5.9', 'MEDIUM'], ['CVE-2019-14379', '9.8', 'CRITICAL'], ['CVE-2020-25649', '7.5', 'HIGH'], ['CVE-2018-12022', '7.5', 'HIGH'], ['CVE-2020-9548', '9.8', 'CRITICAL'], ['CVE-2020-24616', '8.1', 'HIGH'], ['CVE-2018-14721', '10.0', 'CRITICAL'], ['CVE-2017-17485', '9.8', 'CRITICAL'], ['CVE-2018-19361', '9.8', 'CRITICAL'], ['CVE-2018-14718', '9.8', 'CRITICAL'], ['CVE-2020-36187', '8.1', 'HIGH'], ['CVE-2018-5968', '8.1', 'HIGH'], ['CVE-2019-17267', '9.8', 'CRITICAL']]",8.7530612244898,428.9000000000002
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.7.5,"[['CVE-2016-7051', '8.6', 'HIGH']]",8.6,8.6
com.fasterxml.jackson.core,jackson-databind,2.7.4,"[['CVE-2020-36181', '8.1', 'HIGH'], ['CVE-2020-8840', '9.8', 'CRITICAL'], ['CVE-2019-12814', '5.9', 'MEDIUM'], ['CVE-2019-20330', '9.8', 'CRITICAL'], ['CVE-2020-35491', '8.1', 'HIGH'], ['CVE-2020-35490', '8.1', 'HIGH'], ['CVE-2019-17531', '9.8', 'CRITICAL'], ['CVE-2019-14439', '7.5', 'HIGH'], ['CVE-2020-36518', '7.5', 'HIGH'], ['CVE-2019-16942', '9.8', 'CRITICAL'], ['CVE-2020-24750', '8.1', 'HIGH'], ['CVE-2020-36184', '8.1', 'HIGH'], ['CVE-2020-36189', '8.1', 'HIGH'], ['CVE-2018-14719', '9.8', 'CRITICAL'], ['CVE-2019-14540', '9.8', 'CRITICAL'], ['CVE-2019-16943', '9.8', 'CRITICAL'], ['CVE-2020-36185', '8.1', 'HIGH'], ['CVE-2018-19362', '9.8', 'CRITICAL'], ['CVE-2020-36183', '8.1', 'HIGH'], ['CVE-2020-36188', '8.1', 'HIGH'], ['CVE-2020-36186', '8.1', 'HIGH'], ['CVE-2020-36182', '8.1', 'HIGH'], ['CVE-2021-20190', '8.1', 'HIGH'], ['CVE-2020-9547', '9.8', 'CRITICAL'], ['CVE-2019-16335', '9.8', 'CRITICAL'], ['CVE-2018-12023', '7.5', 'HIGH'], ['CVE-2018-19360', '9.8', 'CRITICAL'], ['CVE-2018-14720', '9.8', 'CRITICAL'], ['CVE-2018-7489', '9.8', 'CRITICAL'], ['CVE-2019-12086', '7.5', 'HIGH'], ['CVE-2020-10673', '8.8', 'HIGH'], ['CVE-2020-36179', '8.1', 'HIGH'], ['CVE-2017-15095', '9.8', 'CRITICAL'], ['CVE-2017-7525', '9.8', 'CRITICAL'], ['CVE-2020-36180', '8.1', 'HIGH'], ['CVE-2018-11307', '9.8', 'CRITICAL'], ['CVE-2019-12384', '5.9', 'MEDIUM'], ['CVE-2019-14379', '9.8', 'CRITICAL'], ['CVE-2020-25649', '7.5', 'HIGH'], ['CVE-2018-12022', '7.5', 'HIGH'], ['CVE-2020-9548', '9.8', 'CRITICAL'], ['CVE-2020-24616', '8.1', 'HIGH'], ['CVE-2018-14721', '10.0', 'CRITICAL'], ['CVE-2017-17485', '9.8', 'CRITICAL'], ['CVE-2018-19361', '9.8', 'CRITICAL'], ['CVE-2018-14718', '9.8', 'CRITICAL'], ['CVE-2020-36187', '8.1', 'HIGH'], ['CVE-2018-5968', '8.1', 'HIGH'], ['CVE-2019-17267', '9.8', 'CRITICAL']]",8.7530612244898,428.9000000000002
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.7.4,"[['CVE-2016-7051', '8.6', 'HIGH']]",8.6,8.6
org.apache.commons,commons-compress,1.11,"[['CVE-2021-36090', '7.5', 'HIGH'], ['CVE-2021-35515', '7.5', 'HIGH'], ['CVE-2018-11771', '5.5', 'MEDIUM'], ['CVE-2018-1324', '5.5', 'MEDIUM'], ['CVE-2021-35517', '7.5', 'HIGH'], ['CVE-2021-35516', '7.5', 'HIGH']]",6.833333333333333,41.0
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.6.3,"[['CVE-2016-3720', '9.8', 'CRITICAL'], ['CVE-2016-7051', '8.6', 'HIGH']]",9.2,18.4
org.apache.commons,commons-compress,1.10,"[['CVE-2021-36090', '7.5', 'HIGH'], ['CVE-2021-35515', '7.5', 'HIGH'], ['CVE-2018-11771', '5.5', 'MEDIUM'], ['CVE-2021-35517', '7.5', 'HIGH'], ['CVE-2021-35516', '7.5', 'HIGH']]",7.1,35.5
ch.qos.logback,logback-classic,1.1.3,"[['CVE-2017-5929', '9.8', 'CRITICAL']]",9.8,9.8
com.fasterxml.jackson.core,jackson-databind,2.6.2,"[['CVE-2020-36181', '8.1', 'HIGH'], ['CVE-2020-8840', '9.8', 'CRITICAL'], ['CVE-2019-12814', '5.9', 'MEDIUM'], ['CVE-2019-20330', '9.8', 'CRITICAL'], ['CVE-2020-35491', '8.1', 'HIGH'], ['CVE-2020-35490', '8.1', 'HIGH'], ['CVE-2019-17531', '9.8', 'CRITICAL'], ['CVE-2019-14439', '7.5', 'HIGH'], ['CVE-2020-36518', '7.5', 'HIGH'], ['CVE-2019-16942', '9.8', 'CRITICAL'], ['CVE-2020-24750', '8.1', 'HIGH'], ['CVE-2020-36184', '8.1', 'HIGH'], ['CVE-2020-36189', '8.1', 'HIGH'], ['CVE-2018-14719', '9.8', 'CRITICAL'], ['CVE-2019-14540', '9.8', 'CRITICAL'], ['CVE-2019-16943', '9.8', 'CRITICAL'], ['CVE-2020-36185', '8.1', 'HIGH'], ['CVE-2020-36183', '8.1', 'HIGH'], ['CVE-2020-36188', '8.1', 'HIGH'], ['CVE-2020-36186', '8.1', 'HIGH'], ['CVE-2020-36182', '8.1', 'HIGH'], ['CVE-2021-20190', '8.1', 'HIGH'], ['CVE-2020-9547', '9.8', 'CRITICAL'], ['CVE-2019-16335', '9.8', 'CRITICAL'], ['CVE-2018-7489', '9.8', 'CRITICAL'], ['CVE-2019-12086', '7.5', 'HIGH'], ['CVE-2020-10673', '8.8', 'HIGH'], ['CVE-2020-36179', '8.1', 'HIGH'], ['CVE-2017-15095', '9.8', 'CRITICAL'], ['CVE-2017-7525', '9.8', 'CRITICAL'], ['CVE-2020-36180', '8.1', 'HIGH'], ['CVE-2018-11307', '9.8', 'CRITICAL'], ['CVE-2019-12384', '5.9', 'MEDIUM'], ['CVE-2019-14379', '9.8', 'CRITICAL'], ['CVE-2019-14892', '9.8', 'CRITICAL'], ['CVE-2020-25649', '7.5', 'HIGH'], ['CVE-2018-12022', '7.5', 'HIGH'], ['CVE-2020-9548', '9.8', 'CRITICAL'], ['CVE-2020-24616', '8.1', 'HIGH'], ['CVE-2017-17485', '9.8', 'CRITICAL'], ['CVE-2018-14718', '9.8', 'CRITICAL'], ['CVE-2020-36187', '8.1', 'HIGH'], ['CVE-2018-5968', '8.1', 'HIGH'], ['CVE-2019-17267', '9.8', 'CRITICAL']]",8.681818181818185,382.00000000000017
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.6.2,"[['CVE-2016-3720', '9.8', 'CRITICAL'], ['CVE-2016-7051', '8.6', 'HIGH']]",9.2,18.4
com.fasterxml.jackson.core,jackson-databind,2.6.1,"[['CVE-2020-36181', '8.1', 'HIGH'], ['CVE-2020-8840', '9.8', 'CRITICAL'], ['CVE-2019-12814', '5.9', 'MEDIUM'], ['CVE-2019-20330', '9.8', 'CRITICAL'], ['CVE-2020-35491', '8.1', 'HIGH'], ['CVE-2020-35490', '8.1', 'HIGH'], ['CVE-2019-17531', '9.8', 'CRITICAL'], ['CVE-2019-14439', '7.5', 'HIGH'], ['CVE-2020-36518', '7.5', 'HIGH'], ['CVE-2019-16942', '9.8', 'CRITICAL'], ['CVE-2020-24750', '8.1', 'HIGH'], ['CVE-2020-36184', '8.1', 'HIGH'], ['CVE-2020-36189', '8.1', 'HIGH'], ['CVE-2018-14719', '9.8', 'CRITICAL'], ['CVE-2019-14540', '9.8', 'CRITICAL'], ['CVE-2019-16943', '9.8', 'CRITICAL'], ['CVE-2020-36185', '8.1', 'HIGH'], ['CVE-2020-36183', '8.1', 'HIGH'], ['CVE-2020-36188', '8.1', 'HIGH'], ['CVE-2020-36186', '8.1', 'HIGH'], ['CVE-2020-36182', '8.1', 'HIGH'], ['CVE-2021-20190', '8.1', 'HIGH'], ['CVE-2020-9547', '9.8', 'CRITICAL'], ['CVE-2019-16335', '9.8', 'CRITICAL'], ['CVE-2018-7489', '9.8', 'CRITICAL'], ['CVE-2019-12086', '7.5', 'HIGH'], ['CVE-2020-10673', '8.8', 'HIGH'], ['CVE-2020-36179', '8.1', 'HIGH'], ['CVE-2017-15095', '9.8', 'CRITICAL'], ['CVE-2017-7525', '9.8', 'CRITICAL'], ['CVE-2020-36180', '8.1', 'HIGH'], ['CVE-2018-11307', '9.8', 'CRITICAL'], ['CVE-2019-12384', '5.9', 'MEDIUM'], ['CVE-2019-14379', '9.8', 'CRITICAL'], ['CVE-2019-14892', '9.8', 'CRITICAL'], ['CVE-2020-25649', '7.5', 'HIGH'], ['CVE-2018-12022', '7.5', 'HIGH'], ['CVE-2020-9548', '9.8', 'CRITICAL'], ['CVE-2020-24616', '8.1', 'HIGH'], ['CVE-2017-17485', '9.8', 'CRITICAL'], ['CVE-2018-14718', '9.8', 'CRITICAL'], ['CVE-2020-36187', '8.1', 'HIGH'], ['CVE-2018-5968', '8.1', 'HIGH'], ['CVE-2019-17267', '9.8', 'CRITICAL']]",8.681818181818185,382.00000000000017
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.6.1,"[['CVE-2016-3720', '9.8', 'CRITICAL'], ['CVE-2016-7051', '8.6', 'HIGH']]",9.2,18.4
com.fasterxml.jackson.core,jackson-databind,2.5.3,"[['CVE-2020-36181', '8.1', 'HIGH'], ['CVE-2020-8840', '9.8', 'CRITICAL'], ['CVE-2019-12814', '5.9', 'MEDIUM'], ['CVE-2019-20330', '9.8', 'CRITICAL'], ['CVE-2020-35491', '8.1', 'HIGH'], ['CVE-2020-35490', '8.1', 'HIGH'], ['CVE-2019-17531', '9.8', 'CRITICAL'], ['CVE-2019-14439', '7.5', 'HIGH'], ['CVE-2020-36518', '7.5', 'HIGH'], ['CVE-2019-16942', '9.8', 'CRITICAL'], ['CVE-2020-24750', '8.1', 'HIGH'], ['CVE-2020-36184', '8.1', 'HIGH'], ['CVE-2020-36189', '8.1', 'HIGH'], ['CVE-2018-14719', '9.8', 'CRITICAL'], ['CVE-2019-14540', '9.8', 'CRITICAL'], ['CVE-2019-16943', '9.8', 'CRITICAL'], ['CVE-2020-36185', '8.1', 'HIGH'], ['CVE-2020-36183', '8.1', 'HIGH'], ['CVE-2020-36188', '8.1', 'HIGH'], ['CVE-2020-36186', '8.1', 'HIGH'], ['CVE-2020-36182', '8.1', 'HIGH'], ['CVE-2021-20190', '8.1', 'HIGH'], ['CVE-2020-9547', '9.8', 'CRITICAL'], ['CVE-2019-16335', '9.8', 'CRITICAL'], ['CVE-2018-7489', '9.8', 'CRITICAL'], ['CVE-2019-12086', '7.5', 'HIGH'], ['CVE-2020-10673', '8.8', 'HIGH'], ['CVE-2020-36179', '8.1', 'HIGH'], ['CVE-2017-15095', '9.8', 'CRITICAL'], ['CVE-2017-7525', '9.8', 'CRITICAL'], ['CVE-2020-36180', '8.1', 'HIGH'], ['CVE-2018-11307', '9.8', 'CRITICAL'], ['CVE-2019-12384', '5.9', 'MEDIUM'], ['CVE-2019-14379', '9.8', 'CRITICAL'], ['CVE-2019-14892', '9.8', 'CRITICAL'], ['CVE-2020-25649', '7.5', 'HIGH'], ['CVE-2018-12022', '7.5', 'HIGH'], ['CVE-2020-9548', '9.8', 'CRITICAL'], ['CVE-2020-24616', '8.1', 'HIGH'], ['CVE-2017-17485', '9.8', 'CRITICAL'], ['CVE-2018-14718', '9.8', 'CRITICAL'], ['CVE-2020-36187', '8.1', 'HIGH'], ['CVE-2018-5968', '8.1', 'HIGH'], ['CVE-2019-17267', '9.8', 'CRITICAL']]",8.681818181818185,382.00000000000017
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.5.3,"[['CVE-2016-3720', '9.8', 'CRITICAL'], ['CVE-2016-7051', '8.6', 'HIGH']]",9.2,18.4
com.h2database,h2,1.3.175,"[['CVE-2021-23463', '9.1', 'CRITICAL'], ['CVE-2021-42392', '9.8', 'CRITICAL'], ['CVE-2022-23221', '9.8', 'CRITICAL']]",9.566666666666666,28.7
com.fasterxml.jackson.core,jackson-databind,2.5.1,"[['CVE-2020-36181', '8.1', 'HIGH'], ['CVE-2020-8840', '9.8', 'CRITICAL'], ['CVE-2019-12814', '5.9', 'MEDIUM'], ['CVE-2019-20330', '9.8', 'CRITICAL'], ['CVE-2020-35491', '8.1', 'HIGH'], ['CVE-2020-35490', '8.1', 'HIGH'], ['CVE-2019-17531', '9.8', 'CRITICAL'], ['CVE-2019-14439', '7.5', 'HIGH'], ['CVE-2020-36518', '7.5', 'HIGH'], ['CVE-2019-16942', '9.8', 'CRITICAL'], ['CVE-2020-24750', '8.1', 'HIGH'], ['CVE-2020-36184', '8.1', 'HIGH'], ['CVE-2020-36189', '8.1', 'HIGH'], ['CVE-2018-14719', '9.8', 'CRITICAL'], ['CVE-2019-14540', '9.8', 'CRITICAL'], ['CVE-2019-16943', '9.8', 'CRITICAL'], ['CVE-2020-36185', '8.1', 'HIGH'], ['CVE-2020-36183', '8.1', 'HIGH'], ['CVE-2020-36188', '8.1', 'HIGH'], ['CVE-2020-36186', '8.1', 'HIGH'], ['CVE-2020-36182', '8.1', 'HIGH'], ['CVE-2021-20190', '8.1', 'HIGH'], ['CVE-2020-9547', '9.8', 'CRITICAL'], ['CVE-2019-16335', '9.8', 'CRITICAL'], ['CVE-2018-7489', '9.8', 'CRITICAL'], ['CVE-2019-12086', '7.5', 'HIGH'], ['CVE-2020-10673', '8.8', 'HIGH'], ['CVE-2020-36179', '8.1', 'HIGH'], ['CVE-2017-15095', '9.8', 'CRITICAL'], ['CVE-2017-7525', '9.8', 'CRITICAL'], ['CVE-2020-36180', '8.1', 'HIGH'], ['CVE-2018-11307', '9.8', 'CRITICAL'], ['CVE-2019-12384', '5.9', 'MEDIUM'], ['CVE-2019-14379', '9.8', 'CRITICAL'], ['CVE-2019-14892', '9.8', 'CRITICAL'], ['CVE-2020-25649', '7.5', 'HIGH'], ['CVE-2018-12022', '7.5', 'HIGH'], ['CVE-2020-9548', '9.8', 'CRITICAL'], ['CVE-2020-24616', '8.1', 'HIGH'], ['CVE-2017-17485', '9.8', 'CRITICAL'], ['CVE-2018-14718', '9.8', 'CRITICAL'], ['CVE-2020-36187', '8.1', 'HIGH'], ['CVE-2018-5968', '8.1', 'HIGH'], ['CVE-2019-17267', '9.8', 'CRITICAL']]",8.681818181818185,382.00000000000017
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.5.1,"[['CVE-2016-3720', '9.8', 'CRITICAL'], ['CVE-2016-7051', '8.6', 'HIGH']]",9.2,18.4
